Index,Year,Bearing_Acres,Avg_Profit_Per_Acre,Avg_Pounds_Per_Acre
0,71/72,19039,1293,2715
1,72/73,19611,1947,7134
2,73/74,20741,2025,5106
3,74/75,20715,2391,10075
4,75/76,24882,2452,4662
5,76/77,29041,2452,8233
6,77/78,33866,2353,6301
7,78/79,39802,2145,6186
8,79/80,44369,2502,3345
9,80/81,47831,1776,9941
10,81/82,64798,1663,4824
11,82/83,69448,1334,5800
12,83/84,72296,1260,6812
13,84/85,72861,1586,5447
14,85/86,74131,2187,4306
15,86/87,74812,1255,7427
16,87/88,76307,2671,4693
17,88/89,75062,2759,4391
18,89/90,73368,3238,2834
19,90/91,71007,2721,3824
20,91/92,69582,2624,4468
21,92/93,68159,1730,8360
22,93/94,66865,3755,4053
23,94/95,61254,3711,4966
24,95/96,61125,3848,5569
25,96/97,60674,4269,5424
26,97/98,59895,4360,5091
27,98/99,59385,5536,4572
28,99/00,58987,5755,5444
29,00/01,58601,5374,7206
30,2-Jan,58227,6145,6865
31,3-Feb,59326,6121,5650
32,4-Mar,60566,6272,7129
33,5-Apr,61712,4457,4868
34,6-May,62093,5495,9677
35,7-Jun,64999,3768,3989
36,8-Jul,65497,4995,5020
37,9-Aug,64555,3092,2703
38,10-Sep,58268,6912,9173
39,11-Oct,57532,7999,5258
40,12-Nov,59629,6404,7753
41,13-Dec,57838,7521,8648
42,13/14,57219,5823,5199
43,14/15,51478,5889,5420
44,15/16,51902,7944,7733
45,16/17,50856,6801,4245
46,17/18,49986,7665,6758
